QUERY_ID,USER_NAME,START_TIME,QUERY_TEXT
01ba7cf4-0000-bc78-0000-00014e76422d,RIYA98,2025-02-18 19:00:03.278 -0800,"show terse FILE FORMATS in SCHEMA IDENTIFIER('""HOL_DB"".""HARMONIZED""')"
01ba7cd4-0000-bc78-0000-00014e76419d,RIYA98,2025-02-18 18:28:20.725 -0800,call harmonized.orders_update_sp()
01ba7ce9-0000-bc97-0000-00014e7671f1,RIYA98,2025-02-18 18:49:38.708 -0800,"show terse STREAMS in SCHEMA IDENTIFIER('""HOL_DB"".""HARMONIZED""') limit 1001"
01ba7cd0-0000-bc97-0000-00014e7671b9,RIYA98,2025-02-18 18:24:54.588 -0800,ALTER WAREHOUSE HOL_WH SET WAREHOUSE_SIZE = XLARGE WAIT_FOR_COMPLETION = TRUE
01ba7d38-0000-bc67-0000-00014e7651e9,RIYA98,2025-02-18 20:08:09.530 -0800,create stage if not exists IDENTIFIER('HOL_DB.analytics.deployment') comment='deployments managed by Snowflake CLI'
01ba7cd0-0000-bc78-0000-00014e764195,RIYA98,2025-02-18 18:24:53.935 -0800,CREATE STREAM HARMONIZED.ORDERS_STREAM ON TABLE HARMONIZED.ORDERS
01ba7d38-0000-bcb8-0000-00014e76a2c5,RIYA98,2025-02-18 20:08:09.437 -0800,describe function IDENTIFIER('hol_db.analytics.fahrenheit_to_celsius_udf')(float)
01ba7cd0-0000-bc71-0000-00014e76321d,RIYA98,2025-02-18 18:24:53.803 -0800,ALTER TABLE HARMONIZED.ORDERS ADD COLUMN META_UPDATED_AT TIMESTAMP
01ba7d38-0000-bc78-0000-00014e76426d,RIYA98,2025-02-18 20:08:52.786 -0800,show integrations
01ba7cd3-0000-bc67-0000-00014e765161,RIYA98,2025-02-18 18:27:52.368 -0800,"select package_name, version from snowflake.information_schema.packages where language = 'python'"
01ba7d38-0000-bc97-0000-00014e7672c1,RIYA98,2025-02-18 20:08:09.875 -0800,put file:///home/runner/work/sfguide-data-engineering-with-snowpark-python/sfguide-data-engineering-with-snowpark-python/steps/05_fahrenheit_to_celsius_udf/fahrenheit_to_celsius_udf.zip @HOL_DB.analytics.deployment/hol/ auto_compress=false parallel=4 overwrite=True
01ba7cd0-0000-bc8b-0000-00014e769205,RIYA98,2025-02-18 18:24:52.324 -0800,CREATE TABLE HARMONIZED.ORDERS LIKE HARMONIZED.POS_FLATTENED_V
01ba7d38-0000-bc64-0000-00014e768261,RIYA98,2025-02-18 20:08:48.435 -0800,"select package_name, version from snowflake.information_schema.packages where language = 'python'"
01ba7cd4-0000-bc78-0000-00014e764199,RIYA98,2025-02-18 18:28:03.982 -0800,select current_warehouse() is not null
01ba7d38-0000-bc4a-0000-00014e766269,RIYA98,2025-02-18 20:08:53.210 -0800,put file:///home/runner/work/sfguide-data-engineering-with-snowpark-python/sfguide-data-engineering-with-snowpark-python/steps/06_orders_update_sp/orders_update_sp.zip @HOL_DB.harmonized.deployment/hol/ auto_compress=false parallel=4 overwrite=True
01ba7cd4-0000-bc78-0000-00014e7641a5,RIYA98,2025-02-18 18:28:22.896 -0800,SELECT EXISTS (SELECT * FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_SCHEMA = 'HARMONIZED' AND TABLE_NAME = 'ORDERS') AS TABLE_EXISTS
01ba7d38-0000-bc67-0000-00014e7651ed,RIYA98,2025-02-18 20:08:55.642 -0800,"select package_name, version from snowflake.information_schema.packages where language = 'python'"
01ba7cd4-0000-bc78-0000-00014e7641a9,RIYA98,2025-02-18 18:28:23.713 -0800,ALTER WAREHOUSE HOL_WH SET WAREHOUSE_SIZE = XLARGE WAIT_FOR_COMPLETION = TRUE
01ba7cf4-0000-bc78-0000-00014e764231,RIYA98,2025-02-18 19:00:03.283 -0800,"show terse STREAMS in SCHEMA IDENTIFIER('""HOL_DB"".""HARMONIZED""') limit 1001"
